10000 30274
40 8718 872924
40 8733 342832
41 1067 297295
41 3500 975187
41 5674 445395
41 7396 577344
41 7716 201729
42 3039 963620
42 3633 787940
42 5332 212167
42 6461 282637
42 6761 465940
42 9047 845403
43 167 219696
43 1760 298047
43 2466 431424
43 3250 848087
43 3960 927221
43 6577 609240
43 7536 89695
43 8111 652283
44 347 189631
44 2729 853253
44 3291 157084
44 3702 336694
44 3767 172066
44 6745 986354
44 8557 908873
45 2548 513817
45 3767 855564
45 4000 716007
45 6994 190298
45 9565 75966
46 575 165656
46 3031 217163
46 4449 596114
46 5586 744803
46 6944 900703
46 9175 31124
46 9915 374299
47 1116 877000
47 3460 14294
47 5633 6850
47 6735 63395
47 9492 989690
48 2798 179984
48 4761 674716
48 6621 503848
48 7984 998319
48 9986 813785
49 188 74935
49 2970 61193
49 3483 74906
49 3763 900163
49 6197 436705
49 8352 47782
50 1377 570979
50 1820 161721
50 2552 485133
50 4014 548485
50 6474 912780
50 7018 677323
50 7637 96263
51 3024 426395
51 4434 814467
51 4755 830195
51 4758 510838
51 5202 723286
51 6194 732234
51 8528 704502
52 1727 319180
52 2060 139122
52 3305 817068
52 4903 454710
52 6800 838413
52 7281 621444
53 1505 234054
53 4217 954428
53 5657 494125
53 7895 161765
54 2294 188950
54 2401 916877
54 3690 994340
54 5897 337143
54 8591 236885
54 9905 158031
55 2965 491446
55 5264 624619
55 5602 387711
55 6050 511134
55 6836 325255
55 9015 127501
55 9689 405623
56 2967 83735
56 4248 242154
56 4276 724391
56 6650 421672
56 8725 268584
56 9531 525772
57 2529 200150
57 3043 101385
57 3631 496169
57 5979 581281
57 6850 267151
57 8256 303660
58 995 431157
58 1417 759559
58 2539 953336
58 4176 31406
58 7009 665020
58 7797 387210
58 8480 990866
58 9618 361845
59 1009 809668
59 2488 140819
59 3884 441070
59 5863 669747
59 6558 37206
59 7799 147456
60 697 501392
60 2410 434062
60 4704 373838
60 6445 136934
60 8680 131929
60 8977 677379
61 1041 668240
61 3661 283176
61 6230 917925
61 8065 967052
62 644 924469
62 2710 222681
62 3869 249271
62 6786 610615
62 8261 721558
62 9611 911192
63 707 285025
63 1763 58929
63 4371 223984
63 6593 883986
63 8055 298557
63 8272 467085
63 8996 286142
64 2974 769541
64 5062 227495
64 7415 172157
64 9582 673516
65 2149 800478
65 4394 363993
65 7217 471788
65 9520 350822
66 424 409747
66 2836 384694
66 5152 847397
66 7303 601872
67 651 699947
67 1101 528940
67 2305 4342
67 4680 634698
67 6371 693883
67 7584 888206
67 9233 243652
68 1314 123992
68 2515 664033
68 2805 501023
68 3990 837004
68 6103 416952
68 7792 246784
68 8484 382195
69 1074 9778
69 4015 447810
69 6077 472148
69 7221 60440
69 7410 666838
70 1471 555039
70 2786 984404
70 3199 94564
70 3586 426617
70 4527 301033
70 5510 728481
70 7538 387451
70 7963 876072
71 1539 774614
71 2763 655476
71 4499 580520
71 5777 355801
71 5788 555425
71 8372 192204
72 2322 932956
72 3962 105569
72 5314 86408
72 5790 25742
72 7158 507772
72 7276 473355
72 8521 981149
72 8670 898025
72 9234 11379
72 9722 148178
73 3033 448913
73 5499 615593
73 5556 192832
73 6917 253644
73 7296 425970
73 9186 834335
74 2880 268038
74 5240 311637
74 5363 351731
74 7764 653245
74 8193 572001
75 653 470021
75 954 246308
75 1458 672478
75 3063 322819
75 5797 913426
75 8552 958794
75 9802 142119
76 1704 84436
76 3374 358314
76 5762 780831
76 8105 159103
77 2543 510830
77 4755 606062
77 5361 516564
77 8155 603539
77 8731 281098
78 1509 469923
78 2304 152602
78 2956 85572
78 5308 582797
78 6125 265823
78 6699 715801
78 6949 497247
78 8055 186994
78 9477 216805
79 1312 169622
79 3577 831448
79 4252 741875
79 5255 532472
79 7012 850934
79 7926 227951
79 8638 799836
80 389 423840
80 2401 440665
80 3381 193833
80 4212 834557
80 7189 89436
80 8337 500086
80 9758 642573
81 590 45805
81 3441 995777
81 5037 178529
81 8032 257954
81 9025 632108
82 2340 376406
82 5282 357093
82 7776 139255
82 9052 294861
82 9315 820260
83 1176 654812
83 3189 408528
83 5496 931099
83 6793 661879
83 9473 340161
83 9500 83535
84 2058 262059
84 4334 391927
84 5733 738383
84 6886 46660
84 9018 323099
85 2062 462349
85 2434 218837
85 4393 553983
85 7263 394055
85 8402 654886
86 531 102332
86 2105 922676
86 4113 376734
86 4163 866542
86 4174 797028
86 6118 335290
86 7416 134347
86 8432 722455
86 9782 221151
87 533 661479
87 3126 351174
87 3433 615555
87 4933 104180
87 6886 146642
87 8944 844882
87 9379 861389
87 9831 846462
88 1269 509511
88 3550 487195
88 6432 672229
88 7260 528184
88 8827 445199
88 9457 20272
89 1615 637718
89 3782 353122
89 6017 724478
89 6037 926738
89 8686 10976
89 9410 104062
90 1600 965447
90 3252 359971
90 4438 28189
90 6911 153471
90 8638 692359
91 2998 736890
91 3607 332105
91 5474 168880
91 7268 832748
91 9209 875316
92 1619 599789
92 3851 787617
92 4637 198207
92 4973 48847
92 7376 890849
92 8013 824059
92 9176 173179
93 728 842997
93 1045 845345
93 2728 803579
93 4306 333647
93 6982 602448
93 7852 166825
93 9039 341815
93 9171 137403
94 1363 324634
94 2664 103058
94 3496 883992
94 5744 93239
94 6928 715241
94 8569 58350
95 678 694985
95 3081 235255
95 3754 916441
95 5580 155255
95 7011 174505
95 9705 785304
96 977 643466
96 1781 846635
96 2932 58076
96 4193 352807
96 5670 694096
96 7461 862081
97 3071 577317
97 4741 586324
97 5816 572256
97 8468 229833
97 8971 370680
98 2426 42282
98 3473 537184
98 3797 214350
98 5649 25560
98 5809 811011
98 5995 220314
98 8426 43450
98 9890 579263
99 353 441339
99 920 370584
99 1919 327593
99 2170 517077
99 4010 787258
99 6911 223698
99 7840 409521
99 9861 200211
100 652 32886
100 2265 34759
100 2702 459776
100 2816 930626
100 3249 747548
100 5317 285900
100 6119 744313
100 8621 284493
100 9848 499085
101 916 972335
101 1476 45659
101 2060 599816
101 4408 433868
101 5089 855725
101 5511 880599
101 8135 183307
101 8342 530383
102 2432 892496
102 3145 138766
102 5532 179136
102 7542 483192
102 7982 69515
102 8658 741670
103 2266 887485
103 4539 440078
103 7026 333212
103 8263 235190
104 2021 607262
104 4866 478868
104 5748 133503
104 7170 149616
104 9408 420108
104 9863 63954
105 2946 243085
105 5820 714384
105 6692 569388
105 8100 424541
105 8426 585574
106 3056 541999
106 4911 561161
106 7494 29397
107 1607 636654
107 4383 691719
107 5266 928278
107 6754 405498
107 8265 589595
108 1920 664812
108 4060 643248
108 4741 909524
108 4856 250421
108 5783 267008
108 8525 9852
109 153 68198
109 1732 210204
109 4508 435327
109 4639 895631
109 4963 365910
109 6304 844211
109 8484 273185
109 8536 114046
110 2462 514210
110 3040 441495
110 5841 208615
110 7203 516272
110 8230 775292
110 8501 880124
110 9988 394998
111 1791 800928
111 3506 52460
111 5752 826849
111 5834 824574
111 7937 51779
111 9065 519638
112 1291 150031
112 3368 197534
112 3600 748011
112 5973 854389
112 7942 22738
112 8594 448351
112 8968 153926
113 1973 65271
113 2306 501896
113 2497 146051
113 4844 618792
113 6087 18784
113 8796 198349
114 950 234334
114 2162 96019
114 4519 648645
114 7415 564944
114 8414 481624
114 8738 385971
114 9444 789979
115 1194 460252
115 3676 467294
115 4191 85818
115 5372 908061
115 7232 523531
115 8428 237459
115 9087 2909
116 2680 147744
116 3161 73780
116 4267 570841
116 5683 86358
116 5811 635418
116 6784 71456
116 9516 588682
117 513 440112
117 1187 83881
117 1585 363544
117 1628 876582
117 4224 917906
117 6681 831147
117 9389 491471
118 977 137034
118 2116 810343
118 3273 258248
118 4800 965928
118 5749 549658
118 8438 945278
119 2539 50307
119 3422 60171
119 4833 320560
119 5229 914164
119 5676 346442
119 6765 988398
119 9104 739901
120 2519 231367
120 3102 76261
120 4847 151725
120 6794 128257
120 8110 816829
120 8287 787269
121 2986 248894
121 5273 383641
121 5465 19173
121 8268 305958
122 672 220117
122 3194 966991
122 5748 561271
122 6426 783454
122 8228 200080
123 2859 276336
123 3768 702460
123 6046 544165
123 6170 12458
123 7507 448744
123 7790 366558
123 9419 915573
124 1944 934741
124 3640 819130
124 5804 847250
124 8394 880041
124 8626 599147
125 1034 382597
125 2139 761988
125 3896 372844
125 5563 329669
125 8211 233948
125 9388 736775
126 2640 185514
126 4672 911423
126 6162 573604
126 9122 912665
127 1782 731790
127 2986 768256
127 4362 728245
127 5846 886522
127 8389 144396
127 8851 508003
127 9579 215574
128 2522 545238
128 4360 727694
128 4771 241964
128 7209 480280
128 9030 148473
129 439 238425
129 2796 255974
129 5257 523367
129 5365 627668
129 7980 791487
129 9236 874102
130 929 534845
130 3743 66153
130 5663 195387
130 7002 451318
130 8971 968532
131 2862 726843
131 4302 705362
131 5961 334265
131 8716 530324
131 9749 732115
132 977 255477
132 1726 528864
132 2165 598235
132 2281 937540
132 4215 959270
132 6944 805103
132 7358 462652
132 9192 5109
133 1287 489988
133 3602 998888
133 6425 795111
133 8018 403837
133 9737 350351
134 237 598813
134 2383 635951
134 3664 559898
134 6470 917724
134 8946 565925
134 9553 499765
135 822 304864
135 2774 339339
135 5467 588412
135 8114 111850
135 9505 895318
136 1701 690424
136 2726 731754
136 5216 230727
136 7470 103596
136 8001 935403
136 8539 200167
137 832 634238
137 2303 986620
137 4144 702235
137 6297 398883
137 7387 611460
137 9952 345138
138 2702 973335
138 4308 435881
138 6071 122526
138 8719 997143
138 9990 495141
139 1015 115084
139 1406 488278
139 4023 257558
139 5292 275315
139 6431 218743
139 7709 413983
139 8031 322787
140 1903 934242
140 4677 305901
140 7130 124341
140 9709 961414
141 1835 83935
141 2695 425836
141 3249 214352
141 4942 7433
141 7369 227439
141 8424 700399
142 2465 492062
142 2944 763418
142 4631 339813
142 7366 109473
142 8384 161501
143 935 983749
143 2446 377132
143 3770 171924
143 5111 724373
143 6961 656556
143 9161 710407
143 9413 803896
144 174 547683
144 2060 933429
144 2078 274564
144 4912 958500
144 5885 728524
144 7190 755063
144 8179 967326
145 192 736469
145 1492 608561
145 2085 195979
145 3561 50937
145 3904 36329
145 5740 586899
145 5820 611091
145 6958 497267
145 9427 454820
145 9575 293897
146 2205 752082
146 4886 572388
146 5483 293341
146 6925 834941
146 7936 244001
146 9919 513479
147 1038 143423
147 4013 138370
147 5716 809674
147 5759 934543
147 6323 954126
147 9300 303705
148 2593 274873
148 4476 232693
148 4530 729297
148 5648 790090
148 7324 981719
148 8747 629122
148 9750 376789
149 487 406615
149 1601 440232
149 2631 939445
149 3577 777088
149 5687 785992
149 6309 145677
149 7770 289955
149 9495 224200
150 2743 419082
150 5531 35650
150 6253 478909
150 8985 966402
151 1657 595519
151 2631 318646
151 3611 908667
151 4215 551450
151 7105 307989
151 7991 443839
152 499 229826
152 541 418375
152 1175 119348
152 3270 226833
152 5361 141044
152 5619 325882
152 7656 826984
152 7790 35124
152 8167 298109
152 9144 388895
153 2771 890226
153 2863 53578
153 3530 898337
153 6088 448908
153 7256 962982
153 9506 88345
154 3126 90979
154 3841 524071
154 5996 259809
154 7454 996417
154 9488 874498
154 9880 939524
155 1275 237628
155 1865 38366
155 3270 698564
155 5853 427852
155 7338 886606
155 9518 630046
156 503 109376
156 2962 273044
156 5353 713434
156 7367 297109
156 8863 714524
156 9125 935309
157 2804 809803
157 4479 631170
157 5243 183798
157 7384 638709
157 8539 263549
158 1248 691396
158 2348 553695
158 4272 752146
158 6171 202274
158 8684 495361
158 9345 763259
159 185 576715
159 2819 586550
159 3143 897943
159 5620 857975
159 6709 348156
159 8845 459856
159 9790 390633
160 2612 170529
160 2784 937545
160 4701 590627
160 7284 912196
160 8048 929485
160 8861 720632
160 9051 622478
160 9285 666332
161 458 628965
161 502 259624
161 1753 378525
161 2695 267343
161 3719 639434
161 5261 291324
161 7319 858454
161 9090 200586
162 2825 578854
162 4420 539601
162 6461 776715
162 7891 121858
162 8581 926623
162 9908 530280
163 340 623576
163 1598 836225
163 4141 781513
163 4234 33489
163 6433 974120
163 7347 808745
163 8134 702975
163 8676 343562
164 678 875576
164 3432 428112
164 5953 6150
164 8123 916954
165 3025 843572
165 3702 265139
165 6567 143858
165 6625 691126
165 8051 804604
165 9033 227522
165 9117 554185
166 1515 362925
166 2286 246675
166 3748 359684
166 4323 573331
166 4575 181684
166 6361 166776
166 6538 238960
166 7259 348532
166 8074 443644
166 8278 755305
166 9134 397413
167 2144 410190
167 4453 592963
167 6156 835749
167 6295 355691
167 7388 26415
167 9846 109768
168 305 292694
168 3207 966744
168 4928 696691
168 5791 694901
168 8433 249939
168 9857 425812
169 2149 181112
169 2930 210744
169 5747 726762
169 6673 339130
169 6741 774984
169 8611 983210
170 484 525972
170 1960 180433
170 4503 233968
170 5621 310448
170 8325 980194
170 9455 366922
171 1295 616857
171 2157 884935
171 4935 48197
171 7326 949563
171 8259 440211
171 8927 396214
172 907 171193
172 1460 528296
172 2667 24871
172 2926 320686
172 4221 702157
172 5867 194769
172 8463 271705
173 1250 638622
173 3642 995204
173 6464 117610
173 7947 598604
173 8745 978877
173 8903 424734
173 8982 740829
174 2289 285915
174 2769 701671
174 2971 326690
174 3856 868464
174 5576 964536
174 6540 718369
174 9188 615915
175 2776 151991
175 5162 733349
175 6701 433212
175 9651 60025
176 1275 555249
176 3591 474185
176 5266 353496
176 6737 721793
176 9139 319954
176 9947 453607
177 1869 838418
177 4576 663579
177 5953 561427
177 7175 57643
177 7366 706179
177 9343 245580
178 693 678787
178 1865 965891
178 2806 856274
178 5289 839612
178 7739 528162
178 8838 141925
179 1031 978226
179 1136 318810
179 2697 405153
179 4268 984271
179 4991 115303
179 7032 924301
179 9969 646235
180 2094 891811
180 3787 804784
180 4728 425868
180 5747 830238
180 7880 324505
181 2116 852662
181 3408 787211
181 4364 244499
181 4792 325064
181 5093 422993
181 5653 236875
181 6260 315287
181 8782 985652
181 9713 41462
182 1935 456727
182 2971 5449
182 4474 643333
182 4782 548525
182 6344 229796
182 6365 143406
182 8091 242035
182 8136 145936
182 8474 283544
183 1580 363196
183 3632 465313
183 5694 290662
183 6637 984939
183 9294 52877
184 2071 955629
184 2538 497278
184 3607 260973
184 6561 908732
184 8050 130519
184 9921 198866
185 782 440896
185 1447 675884
185 2676 629208
185 5267 36981
185 5662 986998
185 8299 108813
186 765 93747
186 2425 368455
186 2912 43902
186 3339 635958
186 4863 317851
186 5137 714481
186 5711 739119
186 6055 881449
186 7031 667968
186 7424 895223
186 9052 603628
186 9851 159188
187 1314 667934
187 3874 801768
187 6612 4567
187 8306 386837
187 8529 2149
188 1660 842575
188 2636 208999
188 3054 105254
188 4878 903347
188 5594 317523
188 6733 298695
188 7215 228887
188 8476 515465
189 2600 674648
189 2673 755893
189 4599 266636
189 6603 152019
189 8150 707702
189 8997 895125
190 1060 46596
190 1824 286849
190 2763 745537
190 3209 211766
190 3437 269165
190 6069 466370
190 6272 31117
190 6873 310819
190 9798 44111
191 2112 100183
191 4578 112850
191 4740 113473
191 7600 670712
191 9766 320063
192 1551 431284
192 3323 632479
192 4447 900714
192 5454 142926
192 8277 59590
192 8711 674458
192 9015 528993
193 1097 839807
193 1291 298014
193 2671 55118
193 4211 679201
193 4522 314057
193 7187 465527
193 8300 130187
193 9881 66944
194 1054 712067
194 1421 451339
194 2193 220730
194 3801 757950
194 4112 555398
194 4863 322618
194 5245 687024
194 7114 440540
194 8328 907234
195 874 338125
195 1337 260346
195 2511 552132
195 4375 153290
195 7037 27800
195 8614 892558
196 2836 218925
196 4529 577767
196 7175 839305
196 9236 236312
197 3008 75278
197 3435 487835
197 3577 435966
197 5973 75376
197 6202 552078
197 8694 275695
198 1215 827822
198 1493 251658
198 2324 82429
198 4555 435389
198 4986 953226
198 7643 572128
198 7979 610306
199 2595 362965
199 5416 216563
199 6650 834251
199 7039 122732
199 8247 196788
200 1636 265213
200 3578 62131
200 5202 709963
200 5498 132257
200 6462 949131
200 7140 982550
201 1309 935771
201 3828 146587
201 4283 198176
201 4641 915206
201 6773 429534
201 9533 515722
202 350 638449
202 2686 549287
202 4581 836775
202 5073 997192
202 5322 408471
202 6820 337901
202 8539 701466
203 2951 684011
203 5188 846212
203 5314 775759
203 7104 635584
203 8382 583504
203 9515 567765
203 9544 198897
204 1361 551396
204 2635 843496
204 4662 107524
204 6276 431522
204 7984 128219
205 410 466115
205 1464 546022
205 3949 685158
205 3974 490077
205 6335 882506
205 7514 524154
205 8947 272460
205 9948 101569
206 1588 816813
206 3634 946542
206 5835 194675
206 6216 985231
206 7407 502998
206 8503 923254
207 638 767810
207 2308 702840
207 3484 399510
207 6473 576556
207 7051 919353
207 9104 671760
207 9955 493489
208 2059 111405
208 3838 737236
208 5048 257180
208 5169 296414
208 7015 506505
208 9003 270392
209 292 709993
209 1698 536869
209 3845 803432
209 3897 824326
209 5830 660397
209 7703 608867
210 1135 280622
210 2078 869765
210 2259 156150
210 4420 41963
210 5149 425726
210 5635 609854
210 7118 783687
210 8468 36474
210 8891 158552
210 9795 280415
211 2331 274561
211 3064 93176
211 4294 871021
211 6858 16106
211 9737 849660
212 1709 421955
212 1847 501681
212 2943 759655
212 3930 987828
212 4654 391828
212 7327 940211
212 8833 230379
213 2141 905278
213 3073 542695
213 3652 114055
213 5251 405315
213 7825 948833
213 9505 993493
214 1772 359501
214 3432 549410
214 3879 135801
214 6313 875898
214 8112 143776
214 8829 113527
215 957 53733
215 2058 724472
215 3814 973384
215 6555 840043
215 7977 883324
215 8419 366025
216 231 831205
216 892 703860
216 1374 386575
216 3726 186145
216 6702 361154
216 7640 503414
216 9683 250092
216 9864 617115
217 345 111208
217 2035 926584
217 2706 480450
217 4665 981768
217 5501 932385
217 6936 307281
217 7689 702772
217 9333 645957
218 1717 958438
218 3068 301206
218 3643 655682
218 5346 982868
218 6785 932101
218 8736 838976
219 2132 538103
219 4895 46606
219 5573 528789
219 6972 364640
219 8872 880239
219 9240 408338
219 9751 628124
220 2726 274076
220 2960 959360
220 3466 647588
220 6023 893436
220 6284 955615
220 6579 978704
220 9286 625601
220 9957 469622
221 342 646384
221 2453 336802
221 4969 344865
221 5754 234772
221 5849 31157
221 7950 928962
222 776 166819
222 2472 714791
222 4643 198557
222 7365 903083
222 8701 698339
222 9391 484634
223 971 110230
223 1027 732369
223 1114 883180
223 2210 666553
223 3535 102968
223 3944 954113
223 6675 752860
223 6936 497187
223 9101 160889
223 9190 364983
224 1451 491153
224 3287 393953
224 4515 450175
224 5798 769273
224 7950 285672
224 7966 77733
224 9041 280737
224 9856 212606
225 588 948930
225 2379 637128
225 4413 132877
225 6392 404651
225 7448 104499
226 1722 469477
226 3536 945726
226 4510 567005
226 5532 387557
226 7055 948308
226 9228 984678
226 9551 705192
227 1976 985924
227 4897 292354
227 4997 647287
227 5272 473246
227 7030 660665
227 8145 707092
228 2750 811586
228 4939 183021
228 6346 872358
228 7084 790736
228 9790 501116
229 1457 965771
229 3265 990257
229 5355 589351
229 6361 312194
229 6628 106930
229 8168 769722
229 9729 362170
230 900 22830
230 2325 294762
230 3809 634302
230 5500 268028
230 7814 420101
231 635 727184
231 3069 963519
231 5884 618017
231 7517 789626
231 7782 161726
232 1855 990268
232 2442 800552
232 3245 756660
232 4705 473324
232 6671 175134
232 9169 397747
233 1214 32044
233 3791 401361
233 5497 29030
233 7934 344465
233 8491 703227
234 606 321239
234 1565 349
234 2417 431685
234 4730 139478
234 5674 366255
234 8047 533102
234 9953 43837
235 1107 218966
235 3373 552970
235 4573 668603
235 5578 814132
235 8533 950714
236 2979 295174
236 5041 863969
236 6537 326437
236 8737 389459
237 640 337491
237 2082 286880
237 4864 105048
237 7112 325235
237 8414 787084
238 2763 522397
238 4028 452494
238 5972 51867
238 8466 58076
239 2795 417580
239 4706 799729
239 5695 662880
239 6268 892425
239 6695 825031
239 9245 511833
240 1583 798708
240 3581 95742
240 3884 796232
240 5923 361739
240 6149 739567
240 7276 27494
240 7328 128075
240 7680 745902
240 8174 233876
241 2662 32787
241 4191 202414
241 4201 2105
241 5383 576440
241 7862 346735
241 9478 538699
242 2913 9696
242 3428 977977
242 5347 789557
242 6406 450149
242 7874 740190
242 8860 237523
243 1933 499772
243 2386 823565
243 3606 239877
243 3949 316753
243 4231 68356
243 6432 53468
243 7571 178684
244 2998 717378
244 5321 201780
244 6387 719841
244 6488 49340
244 9229 552163
245 1453 292348
245 1919 308731
245 2222 83159
245 3716 796759
245 4783 75070
245 5763 279414
245 5929 511617
245 8042 743370
245 8118 541608
245 9515 997978
245 9872 155775
246 731 399192
246 3215 721589
246 4090 30228
246 5833 464359
246 6265 82443
246 7437 926514
247 925 251359
247 1773 496748
247 4193 658183
247 4698 234589
247 5489 672974
247 7440 251223
247 8013 416351
247 9205 38285
248 1087 63769
248 1095 54678
248 3444 968887
248 6341 575448
248 7930 702684
248 8812 940116
249 1223 530145
249 1767 555177
249 4651 723319
249 6002 835745
249 8902 383146
249 9612 452206
250 1884 868552
250 3787 277918
250 6156 450097
250 7835 993732
250 8601 643383
250 9211 106018
251 2801 808698
251 3856 368665
251 4090 843033
251 4891 834781
251 6092 442041
251 7184 127908
251 9313 32347
252 3090 484548
252 3198 542475
252 3641 578014
252 5377 859167
252 7831 194770
253 824 838149
253 1676 671588
253 3994 760406
253 4623 966377
253 5037 950867
253 7438 60571
253 9077 723957
254 336 851860
254 2419 892428
254 2671 632276
254 4638 57363
254 5732 762766
254 8452 27833
255 2428 222599
255 5242 261747
255 5333 806670
255 7012 150412
255 8431 446311
256 2440 397173
256 4972 305754
256 7132 166489
256 7836 559245
256 9176 137790
257 2201 770061
257 2536 471306
257 3038 624100
257 5060 5335
257 5080 835550
257 6357 237189
257 7998 321371
257 9200 63323
257 9974 159976
258 1164 405160
258 1310 63793
258 4215 638661
258 5488 551965
258 7385 764969
258 8131 682269
259 414 543604
259 1975 953660
259 3022 305938
259 4360 446422
259 6840 219618
259 8443 271476
259 9423 760160
260 2366 920132
260 4484 634015
260 6767 816619
260 7918 552543
261 2685 104503
261 4205 725744
261 5802 851788
261 7801 803107
262 821 273114
262 1603 893497
262 3051 42203
262 4375 968065
262 5528 822799
262 7921 2313
262 9857 554502
263 1668 704864
263 2738 884024
263 2748 832964
263 3038 879789
263 4497 508813
263 7373 764411
263 8318 542878
264 943 646789
264 3561 384464
264 5190 105421
264 5849 124308
264 8679 185167
264 8777 615226
264 9248 137389
265 2523 204793
265 2805 906683
265 4965 342647
265 6604 944454
265 7032 193453
265 8642 860659
265 9849 846558
266 1333 635237
266 1350 915040
266 3042 139649
266 5495 962706
266 7443 610286
266 9308 727401
267 2954 381137
267 5879 994301
267 6152 851562
267 9127 707437
268 2233 168238
268 4212 866769
268 5055 793638
268 6026 984401
268 8892 415393
268 9873 312886
269 2941 968882
269 5818 634730
269 6995 477514
269 8585 992929
269 9949 634280
270 1910 144928
270 2239 15201
270 3138 700117
270 3534 719219
270 5880 658731
270 8860 6193
271 1573 506941
271 4150 858695
271 6067 511462
271 7182 798592
271 8869 56347
272 3135 533856
272 3389 738791
272 5604 882886
272 6447 433210
272 9252 105527
272 9654 590059
273 1422 825626
273 2403 832879
273 4004 196525
273 4590 371258
273 7047 516518
273 8343 346377
274 3036 661317
274 4693 508108
274 6670 286875
274 8625 859587
275 1796 258820
275 2647 744730
275 4619 276730
275 5098 393031
275 6459 883632
275 8107 272697
276 876 985570
276 1668 34209
276 2690 67309
276 5191 551751
276 6819 232266
276 6878 152640
276 7244 340391
276 9751 298676
277 2440 610197
277 3224 636370
277 4494 778112
277 4585 580753
277 4719 511807
277 5447 906137
277 7294 729937
277 7378 286416
277 9102 603292
278 659 383792
278 1839 476012
278 1889 256594
